"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U6,U5,U4,U3,U2,U1";"DIP-4_W7.62mm";6;"PC817";;;
2;"RasbperryPiZeroW1";"PinSocket_2x20_P2.54mm_Vertical";1;"PinHeader2x20";;;
3;"R12,R11,R10,R6,R4,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1k";;;
4;"R9,R8,R7,R5,R3,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"330";;;
5;"Q6,Q5,Q4,Q3,Q2,Q1";"TO-126-3_Vertical";6;"BD681";;;
6;"PowerIn1";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
7;"PIR_sensor6,PIR_sensor5,PIR_sensor4,PIR_sensor3,PIR_sensor2,PIR_sensor1";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";6;"JST-3p";;;
8;"LED6,LED5,LED4,LED3,LED2,LED1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";6;"JST-2p";;;
9;"H4,H3,H2,H1";"MountingHole_5.5mm_Pad_TopBottom";4;"MountingHole";;;
